date,address,packet_loss
2020-06-28T21:15:28Z,198.153.192.1,0.000000
2020-06-28T21:15:58Z,64.6.65.6,0.000000
2020-06-28T21:16:28Z,37.235.1.177,0.000000
2020-06-28T21:16:58Z,198.153.194.1,0.000000
2020-06-28T21:17:28Z,8.8.4.4,0.000000
2020-06-28T21:17:58Z,198.153.192.1,0.000000
2020-06-28T21:18:28Z,208.67.222.222,0.000000
2020-06-28T21:18:58Z,37.235.1.174,0.000000
2020-06-28T21:19:28Z,1.1.1.1,0.000000
2020-06-28T21:19:58Z,37.235.1.177,0.000000
2020-06-28T21:20:28Z,8.8.8.8,0.000000
2020-06-28T21:20:58Z,198.153.194.1,0.000000
2020-06-28T21:21:28Z,37.235.1.174,0.000000
2020-06-28T21:21:58Z,8.8.8.8,0.000000
2020-06-28T21:22:28Z,198.153.194.1,0.000000
2020-06-28T21:22:58Z,1.0.0.1,0.000000
2020-06-28T21:23:28Z,209.244.0.3,0.000000
2020-06-28T21:23:58Z,37.235.1.177,0.000000
2020-06-28T21:24:28Z,208.67.222.222,0.000000
2020-06-28T21:24:58Z,8.8.4.4,0.000000
2020-06-28T21:25:28Z,198.153.194.1,0.000000
2020-06-28T21:25:58Z,209.244.0.3,0.000000
2020-06-28T21:26:28Z,198.153.194.1,0.000000
2020-06-28T21:26:58Z,8.8.4.4,0.000000
2020-06-28T21:27:28Z,8.8.8.8,0.000000
2020-06-28T21:27:58Z,8.8.4.4,0.000000
2020-06-28T21:28:28Z,198.153.192.1,0.000000
2020-06-28T21:28:58Z,8.8.8.8,0.000000
2020-06-28T21:29:28Z,37.235.1.174,0.000000
2020-06-28T21:29:58Z,209.244.0.4,0.000000
2020-06-28T21:30:28Z,208.67.222.222,0.000000
2020-06-28T21:30:58Z,64.6.65.6,0.000000
2020-06-28T21:31:28Z,1.0.0.1,0.000000
2020-06-28T21:31:58Z,1.0.0.1,0.000000
2020-06-28T21:32:28Z,1.0.0.1,0.000000
2020-06-28T21:32:58Z,208.67.220.220,0.000000
2020-06-28T21:33:28Z,1.0.0.1,0.000000
2020-06-28T21:33:58Z,8.8.4.4,0.000000
2020-06-28T21:34:28Z,198.153.192.1,0.000000
2020-06-28T21:34:58Z,37.235.1.174,0.000000
2020-06-28T21:35:28Z,8.8.4.4,0.000000
2020-06-28T21:35:58Z,1.1.1.1,0.000000
2020-06-28T21:36:28Z,64.6.64.6,0.000000
2020-06-28T21:36:58Z,8.8.4.4,0.000000
2020-06-28T21:37:28Z,1.1.1.1,0.000000
2020-06-28T21:37:58Z,37.235.1.177,0.000000
2020-06-28T21:38:28Z,1.0.0.1,0.000000
2020-06-28T21:38:58Z,208.67.222.222,0.000000
2020-06-28T21:39:28Z,198.153.192.1,0.000000
2020-06-28T21:39:58Z,64.6.65.6,0.000000
2020-06-28T21:40:28Z,64.6.65.6,0.000000
2020-06-28T21:40:58Z,64.6.65.6,0.000000
2020-06-28T21:41:28Z,209.244.0.4,0.000000
2020-06-28T21:41:58Z,64.6.64.6,0.000000
2020-06-28T21:42:28Z,1.0.0.1,0.000000
2020-06-28T21:42:58Z,208.67.220.220,0.000000
2020-06-28T21:43:28Z,209.244.0.4,0.000000
2020-06-28T21:43:58Z,64.6.65.6,0.000000
2020-06-28T21:44:28Z,1.1.1.1,0.000000
2020-06-28T21:44:58Z,1.1.1.1,0.000000
2020-06-28T21:45:28Z,1.1.1.1,0.000000
2020-06-28T21:45:58Z,64.6.65.6,0.000000
2020-06-28T21:46:28Z,198.153.192.1,0.000000
2020-06-28T21:46:58Z,208.67.222.222,0.000000
2020-06-28T21:47:28Z,8.8.8.8,0.000000
2020-06-28T21:47:58Z,64.6.65.6,0.000000
2020-06-28T21:48:28Z,208.67.220.220,0.000000
2020-06-28T21:48:58Z,37.235.1.177,0.000000
2020-06-28T21:49:28Z,1.0.0.1,0.000000
2020-06-28T21:49:58Z,209.244.0.3,0.000000
2020-06-28T21:50:28Z,37.235.1.177,0.000000
2020-06-28T21:50:58Z,64.6.65.6,0.000000
2020-06-28T21:51:28Z,208.67.222.222,0.000000
2020-06-28T21:51:58Z,198.153.192.1,0.000000
2020-06-28T21:52:28Z,209.244.0.4,0.000000
2020-06-28T21:52:58Z,1.0.0.1,0.000000
2020-06-28T21:53:28Z,64.6.65.6,0.000000
2020-06-28T21:53:58Z,64.6.65.6,0.000000
2020-06-28T21:54:28Z,209.244.0.4,0.000000
2020-06-28T21:54:58Z,1.1.1.1,0.000000
2020-06-28T21:55:28Z,208.67.222.222,0.000000
2020-06-28T21:55:58Z,198.153.194.1,0.000000
2020-06-28T21:56:28Z,209.244.0.3,0.000000
2020-06-28T21:56:58Z,209.244.0.4,0.000000
2020-06-28T21:57:28Z,208.67.220.220,0.000000
2020-06-28T21:57:58Z,37.235.1.174,0.000000
2020-06-28T21:58:28Z,198.153.194.1,0.000000
2020-06-28T21:58:58Z,208.67.220.220,0.000000
2020-06-28T21:59:28Z,8.8.4.4,0.000000
2020-06-28T21:59:58Z,208.67.220.220,0.000000
2020-06-28T22:00:28Z,37.235.1.177,0.000000
2020-06-28T22:00:58Z,198.153.194.1,0.000000
2020-06-28T22:01:28Z,198.153.194.1,0.000000
2020-06-28T22:01:58Z,8.8.8.8,0.000000
2020-06-28T22:02:28Z,8.8.8.8,0.000000
2020-06-28T22:02:58Z,209.244.0.3,0.000000
2020-06-28T22:03:28Z,209.244.0.3,0.000000
2020-06-28T22:03:58Z,37.235.1.174,0.000000
2020-06-28T22:04:28Z,1.1.1.1,0.000000
2020-06-28T22:04:58Z,8.8.4.4,0.000000
2020-06-28T22:05:28Z,1.0.0.1,0.000000
2020-06-28T22:05:58Z,209.244.0.4,0.000000
2020-06-28T22:06:28Z,198.153.194.1,0.000000
2020-06-28T22:06:58Z,1.0.0.1,0.000000
2020-06-28T22:07:28Z,37.235.1.174,0.000000
2020-06-28T22:07:58Z,64.6.65.6,0.000000
2020-06-28T22:08:28Z,209.244.0.3,0.000000
2020-06-28T22:08:58Z,64.6.65.6,0.000000
2020-06-28T22:09:28Z,37.235.1.174,0.000000
2020-06-28T22:09:58Z,8.8.4.4,0.000000
2020-06-28T22:10:28Z,208.67.222.222,0.000000
2020-06-28T22:10:58Z,1.0.0.1,0.000000
2020-06-28T22:11:28Z,8.8.4.4,0.000000
2020-06-28T22:11:58Z,209.244.0.3,0.000000
2020-06-28T22:12:28Z,37.235.1.177,0.000000
2020-06-28T22:12:58Z,208.67.220.220,0.000000
2020-06-28T22:13:28Z,64.6.64.6,0.000000
2020-06-28T22:13:58Z,208.67.220.220,0.000000
2020-06-28T22:14:28Z,208.67.220.220,0.000000
2020-06-28T22:14:58Z,8.8.4.4,0.000000
2020-06-28T22:15:28Z,209.244.0.4,0.000000
2020-06-28T22:15:58Z,209.244.0.3,0.000000
2020-06-28T22:16:28Z,64.6.64.6,0.000000
2020-06-28T22:16:58Z,1.0.0.1,0.000000
2020-06-28T22:17:28Z,8.8.8.8,0.000000
2020-06-28T22:17:58Z,208.67.220.220,0.000000
2020-06-28T22:18:28Z,37.235.1.174,0.000000
2020-06-28T22:18:58Z,198.153.192.1,0.000000
2020-06-28T22:19:28Z,37.235.1.174,0.000000
2020-06-28T22:19:58Z,208.67.222.222,0.000000
2020-06-28T22:20:28Z,37.235.1.177,0.000000
2020-06-28T22:20:58Z,64.6.65.6,0.000000
2020-06-28T22:21:28Z,198.153.194.1,0.000000
2020-06-28T22:21:58Z,64.6.64.6,0.000000
2020-06-28T22:22:28Z,198.153.194.1,0.000000
2020-06-28T22:22:58Z,37.235.1.174,0.000000
2020-06-28T22:23:28Z,37.235.1.174,0.000000
2020-06-28T22:23:58Z,64.6.64.6,0.000000
2020-06-28T22:24:28Z,8.8.4.4,0.000000
2020-06-28T22:24:58Z,64.6.65.6,0.000000
2020-06-28T22:25:28Z,208.67.222.222,0.000000
2020-06-28T22:25:58Z,64.6.64.6,0.000000
2020-06-28T22:26:28Z,198.153.194.1,0.000000
2020-06-28T22:26:58Z,1.0.0.1,0.000000
2020-06-28T22:27:28Z,1.0.0.1,0.000000
2020-06-28T22:27:58Z,37.235.1.177,0.000000
2020-06-28T22:28:28Z,64.6.64.6,0.000000
2020-06-28T22:28:58Z,1.1.1.1,0.000000
2020-06-28T22:29:28Z,8.8.8.8,0.000000
2020-06-28T22:29:58Z,64.6.65.6,0.000000
2020-06-28T22:30:28Z,1.0.0.1,0.000000
2020-06-28T22:30:58Z,1.0.0.1,0.000000
2020-06-28T22:31:28Z,8.8.4.4,0.000000
2020-06-28T22:31:58Z,198.153.192.1,0.000000
2020-06-28T22:32:28Z,198.153.194.1,0.000000
2020-06-28T22:32:58Z,64.6.64.6,0.000000
2020-06-28T22:33:28Z,64.6.65.6,0.000000
2020-06-28T22:33:58Z,8.8.8.8,0.000000
2020-06-28T22:34:28Z,209.244.0.3,0.000000
2020-06-28T22:34:58Z,1.0.0.1,0.000000
2020-06-28T22:35:28Z,8.8.8.8,0.000000
2020-06-28T22:35:58Z,64.6.64.6,0.000000
2020-06-28T22:36:28Z,64.6.65.6,0.000000
2020-06-28T22:36:58Z,37.235.1.177,0.000000
2020-06-28T22:37:28Z,198.153.194.1,0.000000
2020-06-28T22:37:58Z,198.153.192.1,0.000000
2020-06-28T22:38:28Z,64.6.65.6,0.000000
2020-06-28T22:38:58Z,37.235.1.177,0.000000
2020-06-28T22:39:28Z,64.6.64.6,0.000000
2020-06-28T22:39:58Z,1.0.0.1,0.000000
2020-06-28T22:40:28Z,198.153.194.1,0.000000
2020-06-28T22:40:58Z,198.153.194.1,0.000000
2020-06-28T22:41:28Z,64.6.64.6,0.000000
2020-06-28T22:41:58Z,64.6.65.6,0.000000
2020-06-28T22:42:28Z,209.244.0.4,0.000000
2020-06-28T22:42:58Z,198.153.192.1,0.000000
2020-06-28T22:43:28Z,198.153.192.1,0.000000
2020-06-28T22:43:58Z,208.67.220.220,0.000000
2020-06-28T22:44:28Z,37.235.1.174,0.000000
2020-06-28T22:44:58Z,64.6.64.6,0.000000
2020-06-28T22:45:28Z,208.67.222.222,0.000000
2020-06-28T22:45:58Z,1.1.1.1,0.000000
2020-06-28T22:46:28Z,8.8.4.4,0.000000
2020-06-28T22:46:58Z,208.67.220.220,0.000000
2020-06-28T22:47:28Z,1.1.1.1,0.000000
2020-06-28T22:47:58Z,37.235.1.174,0.000000
2020-06-28T22:48:28Z,1.1.1.1,0.000000
