date,server name,server id,latency,jitter,packet loss,download,upload,download bytes,upload bytes,share url,down Mb/s,up Mb/s
2020-06-28T21:30:18Z,"Speedtest.net - New York, NY",10390,13.165,1.826,0,37115788,4378136,517219458,15875688,"https://www.speedtest.net/result/c/05708acb-4872-4ed5-8765-f1d43690ff80""
",296.926304,35.025088
2020-06-28T21:45:10Z,"Spectrum - New York, NY",16976,11.737,1.133,0,36486361,4539903,255663444,16370580,"https://www.speedtest.net/result/c/9cff7959-e03f-496d-9272-66e543916e49""
",291.890888,36.319224
2020-06-28T22:00:09Z,"GTT.net - New York, NY",24374,11.364,1.185,0,38851940,4448442,237223824,16049040,"https://www.speedtest.net/result/c/0cff8f56-0a2f-42f2-8c82-eb2e7e6fd273""
",310.815520,35.587536
2020-06-28T22:15:16Z,"Data Room - New York, NY",21313,9.834,0.847,0,34780851,4514924,408442476,17154858,"https://www.speedtest.net/result/c/fc74531a-8182-441e-98cc-ea3d57eb1c2e""
",278.246808,36.119392
2020-06-28T22:30:11Z,"GTT.net - New York, NY",24374,11.685,1.173,0,40397282,4531639,318368036,16324446,"https://www.speedtest.net/result/c/3937ce5d-7bfa-4e01-b5fc-829d9afed8b7""
",323.178256,36.253112
2020-06-28T22:45:08Z,"Speedtest.net - New York, NY",10390,13.766,4.059,0,40764354,4559552,197857640,16402734,"https://www.speedtest.net/result/c/f9b53086-1ca0-495b-b74f-75d563510a6d""
",326.114832,36.476416
2020-06-28T23:00:14Z,"GTT.net - New York, NY",24374,9.777,1.039,0,41051014,4520757,466708320,16321650,"https://www.speedtest.net/result/c/8a6f9ad1-44db-42d5-a81e-7f926d706594""
",328.408112,36.166056
2020-06-28T23:15:19Z,"GTT.net - New York, NY",24374,10.945,1.162,0,40956131,4285640,246203276,58240680,"https://www.speedtest.net/result/c/54b8f6dc-d07c-4258-8eb8-a480c7d3984d""
",327.649048,34.285120
2020-06-28T23:30:15Z,"GTT.net - New York, NY",24374,8.667,1.488,0,41860680,4351017,466948689,16482420,"https://www.speedtest.net/result/c/a105e272-aef6-477e-8804-9b92c2842261""
",334.885440,34.808136
2020-06-28T23:45:16Z,"Pilot - New York, NY",13098,11.815,8.302,0,39168808,4440674,401165984,26240460,"https://www.speedtest.net/result/c/bb3cd7e1-3f57-4bea-b85e-e043e45bf777""
",313.350464,35.525392
2020-06-29T00:00:18Z,"Data Room - New York, NY",21313,11.385,5.473,0,34410119,4363321,393078456,30595230,"https://www.speedtest.net/result/c/895203f3-463e-4362-9b69-4e576117c96a""
",275.280952,34.906568
2020-06-29T00:15:12Z,"Spectrum - New York, NY",16976,10.813,1.549,0,38600212,4412921,345152461,15905046,"https://www.speedtest.net/result/c/48a12aa7-0e9f-4ee0-b08e-d8d113212107""
",308.801696,35.303368
2020-06-29T00:30:18Z,"Natural Wireless - New York, NY",16888,9.782,0.616,0,40516850,4515604,582058796,16734060,"https://www.speedtest.net/result/c/e1573749-f8dd-4e86-afc5-bcb381fb30b4""
",324.134800,36.124832
2020-06-29T00:45:13Z,"GTT.net - New York, NY",24374,9.882,1.288,0,39548789,4538383,405045434,16374774,"https://www.speedtest.net/result/c/de61eeb8-a7c1-451c-abef-0c2b6bae49f7""
",316.390312,36.307064
2020-06-29T01:00:11Z,"CCleaner - New York, NY",16686,12.963,1.047,0,37398838,4365739,310261034,15851922,"https://www.speedtest.net/result/c/e5c1c7ab-ee59-47b8-b860-fbc19416758d""
",299.190704,34.925912
2020-06-29T01:15:13Z,"Natural Wireless - New York, NY",16888,10.29,2.419,0,40086576,4507868,421895430,16265730,"https://www.speedtest.net/result/c/e8e2b9c3-13e0-432f-ab33-64980017df9b""
",320.692608,36.062944
2020-06-29T01:30:15Z,"Data Room - New York, NY",21313,10.088,3.639,0,40619160,4455725,472293428,16123134,"https://www.speedtest.net/result/c/7ea75769-165f-4512-bca5-0a98aed7d840""
",324.953280,35.645800
2020-06-29T01:45:13Z,"Speedtest.net - New York, NY",10390,11.971,3.085,0,39330172,4499677,382783584,16267128,"https://www.speedtest.net/result/c/39454959-6e35-4b83-bfa2-dec99c95b102""
",314.641376,35.997416
